Year,Proxy,ObsMAF
1389,-2.053540346,NA
1390,-0.922431649,NA
1391,-0.210593386,NA
1392,-0.401799133,NA
1393,0.075063393,NA
1394,0.632554848,NA
1395,0.528889082,NA
1396,0.420615948,NA
1397,-1.357827868,NA
1398,-0.908609547,NA
1399,-1.827779343,NA
1400,-0.503161216,NA
1401,0.803027442,NA
1402,-0.712796432,NA
1403,-0.203682335,NA
1404,0.844493748,NA
1405,-0.226719172,NA
1406,0.229410201,NA
1407,-0.081587099,NA
1408,0.535800133,NA
1409,1.625442523,NA
1410,0.072759709,NA
1411,-0.669026442,NA
1412,0.763864819,NA
1413,-1.085993192,NA
1414,1.459577296,NA
1415,-1.295628408,NA
1416,-1.314057878,NA
1417,-0.385673347,NA
1418,-0.219808121,NA
1419,-0.199074967,NA
1420,0.068152342,NA
1421,-0.913216914,NA
1422,0.335379651,NA
1423,-0.196771284,NA
1424,-0.376458612,NA
1425,-1.014578997,NA
1426,0.821456911,NA
1427,0.194854945,NA
1428,-0.060853946,NA
1429,0.542711184,NA
1430,0.842190065,NA
1431,1.229208926,NA
1432,0.650984318,NA
1433,-0.033209741,NA
1434,0.339987018,NA
1435,0.134959169,NA
1436,0.471296989,NA
1437,-0.337295989,NA
1438,-1.09751161,NA
1439,-1.166622121,NA
1440,0.964285301,NA
1441,1.572457797,NA
1442,-1.304843143,NA
1443,-0.065461313,NA
1444,-0.466302277,NA
1445,-1.332487348,NA
1446,-0.917824282,NA
1447,0.429830682,NA
1448,-0.079283415,NA
1449,-0.040120792,NA
1450,-1.489137839,NA
1451,0.987322138,NA
1452,0.644073267,NA
1453,-0.100016568,NA
1454,-1.505263625,NA
1455,-2.154902428,NA
1456,-0.682848544,NA
1457,0.093492862,NA
1458,0.547318551,NA
1459,-0.314259152,NA
1460,-2.030503509,NA
1461,-1.235732632,NA
1462,1.362822581,NA
1463,0.839886381,NA
1464,-0.341903357,NA
1465,-1.544426248,NA
1466,0.803027442,NA
1467,1.927225087,NA
1468,1.017270026,NA
1469,0.14187022,NA
1470,-0.118446038,NA
1471,-1.353220501,NA
1472,-1.401597859,NA
1473,-0.821069566,NA
1474,-0.288918632,NA
1475,-0.827980617,NA
1476,0.890567422,NA
1477,1.210779457,NA
1478,0.648680634,NA
1479,-0.429443337,NA
1480,-1.016882681,NA
1481,-0.072372364,NA
1482,0.971196352,NA
1483,0.47820804,NA
1484,2.507753379,NA
1485,1.296015754,NA
1486,0.798420074,NA
1487,0.134959169,NA
1488,0.174121792,NA
1489,1.279889968,NA
1490,1.514865705,NA
1491,1.687641982,NA
1492,-0.003261853,NA
1493,-0.344207041,NA
1494,0.687843257,NA
1495,-2.002859304,NA
1496,-2.482025514,NA
1497,0.091189179,NA
1498,1.319052591,NA
1499,-1.355524185,NA
1500,-2.286212399,NA
1501,-0.844106403,NA
1502,0.307735446,NA
1503,0.052026556,NA
1504,0.16029969,NA
1505,-1.486834156,NA
1506,-2.380663431,NA
1507,-0.510072267,NA
1508,0.618732746,NA
1509,1.164705783,NA
1510,-0.827980617,NA
1511,0.358416488,NA
1512,0.392971743,NA
1513,0.409097529,NA
1514,1.266067865,NA
1515,-0.82337325,NA
1516,-1.198873693,NA
1517,0.118833383,NA
1518,-0.404102817,NA
1519,0.397579111,NA
1520,0.09810023,NA
1521,1.501043603,NA
1522,-0.643685921,NA
1523,0.973500036,NA
1524,0.494333826,NA
1525,0.128048118,NA
1526,1.01957371,NA
1527,0.819153228,NA
1528,-0.420228603,NA
